1,2,3,4,5,6
40,48.638,20,20,20,20
40,56,20,27.5,12.957,12
40,56,20,27.5,13.293,12
40,56,20,27.5,13.034,12
40,56,20,27.5,13.001,12
40,56,20,27.5,13.341,12
40,56,20,27.5,13.313,12
40,56,20,27.5,12.882,12
40,56,20,27.5,12.484,12
40,56,20,27.117,12,12
40,56,20,27.17,12,12
40,56,20,27.5,12.114,12
40,56,20,27.288,12,12
40,56,20,27.027,12,12
40,56,20,26.669,12,12
40,56,20,26.495,12,12
40,56,20,25.901,12,12
40,56,20,25.617,12,12
40,56,20,25.697,12,12
40,56,20,25.098,12,12
40,56,20,24.252,12,12
40,56,20,23.8,12,12
40,56,20,23.969,12,12
40,56,20,23.357,12,12
40,56,20,23.404,12,12
40,56,20,23.121,12,12
40,56,20,22.938,12,12
40,56,20,22.591,12,12
40,56,20,22.693,12,12
40,56,20,22.517,12,12
40,56,20,22.273,12,12
40,56,20,21.64,12,12
40,56,20,21.925,12,12
40,56,20,21.186,12,12
40,56,20,20.995,12,12
40,56,20,21.386,12,12
40,56,20,20.986,12,12
40,56,20,20.391,12,12
40,56,20,20.625,12,12
40,56,20,20.237,12,12
40,56,20,20.502,12,12
40,56,20,20.55,12,12
40,56,20,20.76,12,12
40,56,20,20.9,12,12
40,56,20,20.631,12,12
40,56,20,20.696,12,12
40,56,20,20.904,12,12
40,56,20,20.16,12,12
40,56,20,20.273,12,12
40,56,20,20.267,12,12
40,56,20,20.439,12,12
40,56,20,20.428,12,12
40,56,20,20.565,12,12
40,56,20,20.766,12,12
40,56,20,20.303,12,12
40,56,20,20.348,12,12
40,56,20,20.647,12,12
40,56,20,20.762,12,12
40,56,20,20.84,12,12
40,56,20,20.841,12,12
40,56,20,21,12,12
40,56,20,21.128,12,12
40,56,20,21.058,12,12
40,56,20,21.581,12,12
40,56,20,21.676,12,12
40,56,20,21.968,12,12
40,56,20,22.531,12,12
40,56,20,23.437,12,12
40,56,20,23.725,12,12
40,56,20,24.267,12,12
40,56,20,23.161,12,12
40,56,20,24.463,12,12
40,56,20,24.882,12,12
40,56,20,25.768,12,12
40,56,20,26.674,12,12
40,56,20,27.5,12.546,12
40,56,20,27.5,12.942,12
40,56,20,27.5,13.444,12
40,56,20,27.5,14.572,12
40,56,20,27.5,15,12.881
40,56,20,27.5,15,13.791
40,56,20,27.5,15,14.318
40,56,20,27.5,15,15.164
40,56,20,27.5,15,15.716
40,56,20,28.491,15,16
40,56,20,30.03,15,16
40,56,20,31.446,15,16
40,56,20,32.373,15,16
40.898,56,20,33,15,16
41.562,56,20,33,15,16
43.425,56,20,33,15,16
45.042,56,20,33,15,16
46.544,56,20,33,15,16
47.527,56,20,33,15,16
48,56,20.646,33,15,16
48,56,20.982,33,15,16
48,56,20.824,33,15,16
48,56,21.262,33,15,16
48,56,22.484,33,15,16
48,56,24.566,33,15,16
48,56,25,33,16.05,16
48,56,25,33,17.256,16
48,56,25,33.676,18,16
48,56,25,34.819,18,16
48,56,25,35.604,18,16
48,56,25,37.572,18,16
48,56,25,37.79,18,16
48,56.14,25,38.5,18,16
48,57.289,25,38.5,18,16
48,58.262,25,38.5,18,16
48,59.432,25,38.5,18,16
48,59.979,25,38.5,18,16
48,60.674,25,38.5,18,16
48,60.748,25,38.5,18,16
48,61.514,25,38.5,18,16
48,61.765,25,38.5,18,16
48,62.424,25,38.5,18,16
48,62.992,25,38.5,18,16
48,62.743,25,38.5,18,16
48,63.477,25,38.5,18,16
48,64,25,38.5,18,16.267
48,63.526,25,38.5,18,16
48,63.931,25,38.5,18,16
48,64,25,38.5,18,16.865
48,64,25,38.5,18,17.296
48,64,25,38.5,18,16.642
48,64,25,38.5,18,17.06
48,64,25,38.5,18,16.927
48,64,25,38.5,18,16.417
48,64,25,38.5,18,16.411
48,63.841,25,38.5,18,16
48,62.34,25,38.5,18,16
48,60.796,25,38.5,18,16
48,59.709,25,38.5,18,16
48,59.061,25,38.5,18,16
48,58.41,25,38.5,18,16
48,57.187,25,38.5,18,16
48,56,25,38.198,18,16
48,56,25,36.001,18,16
48,56,25,34.407,18,16
48,56,25,34.036,18,16
48,56,25,33.201,18,16
48,56,25,33.674,18,16
48,56,25,33.552,18,16
48,56,25,34.007,18,16
48,56,25,35.303,18,16
48,56,25,36.164,18,16
48,56,25,37.233,18,16
48,56,25,36.882,18,16
48,56,25,37.255,18,16
48,56,25,37.298,18,16
48,56,25,38.075,18,16
48,56.105,25,38.5,18,16
48,56,25,38.242,18,16
48,56,25,38.399,18,16
48,56.176,25,38.5,18,16
48,56.089,25,38.5,18,16
48,56.361,25,38.5,18,16
48,56.405,25,38.5,18,16
48,56.701,25,38.5,18,16
48,56.498,25,38.5,18,16
48,56.568,25,38.5,18,16
48,56.124,25,38.5,18,16
48,56.195,25,38.5,18,16
48,56.29,25,38.5,18,16
48,56,25,38.266,18,16
48,56.026,25,38.5,18,16
48,56,25,38.384,18,16
48,56.011,25,38.5,18,16
48,56,25,37.851,18,16
48,56.115,25,38.5,18,16
48,56,25,38.327,18,16
48,56,25,38.375,18,16
48,56,25,38.38,18,16
48,56,25,38.322,18,16
48,56,25,38.49,18,16
48,56.267,25,38.5,18,16
48,56.344,25,38.5,18,16
48,56.423,25,38.5,18,16
48,56.864,25,38.5,18,16
48,56.9,25,38.5,18,16
48,57.38,25,38.5,18,16
48,57.857,25,38.5,18,16
48,57.77,25,38.5,18,16
48,57.987,25,38.5,18,16
48,59.221,25,38.5,18,16
48,60.008,25,38.5,18,16
48,60.504,25,38.5,18,16
48,60.781,25,38.5,18,16
48,60.934,25,38.5,18,16
48,62.043,25,38.5,18,16
48,62.665,25,38.5,18,16
48,63.404,25,38.5,18,16
48,63.861,25,38.5,18,16
48,64,25,38.5,18,16.736
48,64,25,38.5,18,17.675
48,64,25,38.5,18,18.87
48,64,25,38.5,18,18.422
48,64,25,38.5,18,19.624
48,64,25,38.5,18,19.376
48,64,25,38.829,18,20
48,64,25,38.777,18,20
48,64,25,39.416,18,20
48,64,25,39.319,18,20
48,64,25,38.5,18,18.703
48,64,25,38.5,18,17.504
48,64,25,38.5,18,18.193
48,64,25,38.5,18,19.463
48,64,25,39.962,18,20
48,64,25,41.498,18,20
48,64,25,41.62,18,20
48,64,25,42.691,18,20
48,64,25,42.984,18,20
48,64,25,43.377,18,20
